nr	ANNEX A: controls SECTION	section	ANNEX A: controls TITLE	Appendix A 27001 Control specification	HIGH LEVEL INTERPRETATION 	Decomposed USM statements	CTM	CHM	MIR	INC	OPS	RIM	TECH	SDC	ORG	SERV
1	5 Organizational controls	5 Organizational controls														
2	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.	We need to have policies, and MIR records in SDC tool to prove their existence. The policies need to be MICs, just like the personnel an the parties.  We need a standardized routine according to a workflow template for creating these policies.  We need CHM records in the SDC tool that demonstrate we have created policies with that standardized routine. The standardized routine must reflect the requirements mentioned in the control.  There is a profile for this responsibility and that profile is assigned to at least one staff member. The review of these policies must then be organized.											
3	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC is a class of MIC.		CHM	MIR							
4	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_POLICY is a Document type Policy, with a field <topic-specific>.		CHM	MIR							
5	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_POLICY specifies Relevant personnel and Relevant interested parties.		CHM	MIR						ORG	
6	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_POLICY_infosec specifies the policies for information security.		CHM	MIR							
7	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_ROUTINE is a Document type Routine.		CHM	MIR							
8	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_ROUTINE_WFL2 is a Document type ROUTINE type WFL2 for USM workflow 2, handling changes conform DOC_PROCESS_CHM.		CHM	MIR							
9	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_ROUTINE_WFL2_template is the template for a DOC_ROUTINE_WFL2.		CHM	MIR							
10	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_ROUTINE_WFL2_policies is the standard for DOC_ROUTINE_WFL2 applied to creating DOC_POLICY, that includes defining, approving by management, publishing, communicating to and acknowledging by relevant personnel and relevant interested parties.		CHM	MIR							
11	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET is a class of MIC.		CHM	MIR							
12	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
13	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ORG has a field <relevant for information security>.		CHM	MIR						ORG	
14	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
15	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET_SW_SDCTOOL_REGCHM is a Register for Changes in the ASSET_SW_SDCTOOL.		CHM	MIR				TECH	SDC		
16	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET_SW_SDCTOOL_REGCHM_RECORD is a Record in the  ASSET_SW_SDCTOOL_REGCHM, containing a field <uses projmgt technique>.		CHM					TECH	SDC		
17	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET_SW_SDCTOOL_REGCHM_RECORD exist for the creation of DOC_POLICY_infosec and for DOC_POLICY with <topic-specific> field.		CHM					TECH	SDC		
18	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET_SW_SDCTOOL_REGCHM_RECORD is classified according to impact, including class <significant>.		CHM					TECH	SDC		
19	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_ROUTINE_WFL2_significant for a ASSET_SW_SDCTOOL_REGCHM_RECORD of class <significant> includes an action for reviewing all DOC_POLICY including DOC_POLICY_infosec.		CHM	MIR							
20	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET_SW_SDCTOOL_REGOPS is a Register for Service requests in the ASSET_SW_SDCTOOL.					OPS		TECH	SDC		
21	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET_SW_SDCTOOL_REGOPS_RECORD is a record in the ASSET_SW_SDCTOOL_REGOPS, containing a field <uses projmgt technique>, and classified, including class <information security risk>.					OPS		TECH	SDC		
22	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar has planned actions for regularly reviewing all DOC_POLICY including DOC_POLICY_infosec.					OPS					
23	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
24	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
25	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		DOC_PROFILE_TASK_secpol exist, responsible for managing Information security policy and topic-specific policies.		CHM	MIR						ORG	
26	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ORG is a class of MIC.		CHM	MIR						ORG	
27	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
28	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
29	Organisational Controls	Annex A 5.1	Policies for Information Security	Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_secpol.		CHM	MIR						ORG	
30	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.	Roles and responsibilities are especified in Profiles. The MIR must be filled with roles/responsibilities that can be related to the Personnel - also in the MIR.  Profiles must have a field <security>. Records in SDCtool demonstrate the use of the allocation.											
31	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		DOC is a class of MIC.		CHM	MIR							
32	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
33	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ORG is a class of MIC.		CHM	MIR						ORG	
34	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
35	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
36	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		DOC_PROFILE are related to ORG_UNIT_PERSONNEL, according to organizational needs.		CHM	MIR						ORG	
37	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
38	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		DOC_PROFILE_TASK_infosec exist, responsible for information security.		CHM	MIR						ORG	
39	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_infosec.		CHM	MIR						ORG	
40	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ASSET is a class of MIC.		CHM	MIR							
41	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
42	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
43	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ASSET_SW_SDCTOOL_REGCHM is a Register for Changes in the ASSET_SW_SDCTOOL.		CHM	MIR				TECH	SDC		
44	Organisational Controls	Annex A 5.2	Information Security Roles and Responsibilities	Information security roles and responsibilities shall be defined and allocated according to the organization needs.		ASSET_SW_SDCTOOL_REGCHM_RECORD is a Record in the  ASSET_SW_SDCTOOL_REGCHM, containing a field <uses projmgt technique>.		CHM					TECH	SDC		
